account_holder_name,bank_name,type,currency,location,previous_location,device,amount,balance,txn_count_last_1hr,txn_count_last_24hr,avg_txn_amount_30days,distance_from_last_txn_km,account_age_days,is_new_location,is_new_device,is_vpn_or_proxy,ip_matches_location,is_international,is_first_time_receiver,merchant_category,transaction_mode,ip_risk_tag,risk_score,risk_level,is_fraud,fraud_reason,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14
Sneha Pillai,HDFC,debit,INR,Patna,Indore,ATM,13466,132273,5,24,4000.0,1137,287,1,1,1,0,0,0,retail,UPI,PROXY,10.0,CRITICAL,1,R02:OddHours(hour=4) | R04:FrequentTxns(5txns/hr) | R06:ImpossibleTravel(1137km) | R07:NewDeviceDetected(ATM) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:AnonymousProxy | R13:HighDailyVolume(24txns),0,1,0,1,0,1,1,1,0,0,0,0,1,0
Nikhil Bansal,Yes Bank,debit,INR,Kolkata,Jaipur,ATM,980.56,7944.24,2,3,2617,6,561,0,0,0,1,0,0,education,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arjun Verma,ICICI,debit,INR,Noida,Lucknow,Smart TV,4093.33,21088.32,1,0,4310,37,2159,0,0,0,1,0,0,travel,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikram Rao,SBI,debit,INR,Patna,Patna,ATM,47630,66682,1,2,4763,0,1693,0,0,0,1,0,1,electronics,NEFT,CLEAN,4.5,MEDIUM,0,R10:NewReceiverHighAmount(47630) | R11:AmountSpike(10xAvg),0,0,0,0,0,0,0,0,0,1,1,0,0,0
Aarav Shah,Kotak,debit,INR,Bangalore,Patna,Android,5056.78,31059.12,0,0,5093,5,2254,0,0,0,1,0,0,healthcare,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rohan Gupta,RBL Bank,debit,INR,Gurgaon,Hyderabad,ATM,4733.97,53609.88,2,1,4599,10,662,0,0,0,1,0,0,food,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,Federal Bank,debit,INR,Noida,Noida,Windows Phone,45520,63728,1,2,4552,0,1479,0,0,0,1,0,1,electronics,NEFT,CLEAN,4.5,MEDIUM,0,R10:NewReceiverHighAmount(45520) | R11:AmountSpike(10xAvg),0,0,0,0,0,0,0,0,0,1,1,0,0,0
Siddharth Malhotra,ICICI,debit,INR,Hyderabad,Delhi,MacBook,3386.34,49032.36,1,3,4767,25,2085,0,0,0,1,0,0,utilities,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ananya Mishra,RBL Bank,debit,INR,Surat,Delhi,Web,1385.49,50763.96,2,0,3470,40,2014,0,0,0,1,0,0,food,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarav Shah,RBL Bank,debit,INR,Bhubaneswar,Noida,Android,5911.84,39843.36,1,5,5595,27,800,0,0,0,1,0,0,insurance,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manish Tiwari,Yes Bank,debit,INR,Bangalore,Mumbai,MacBook,2493.96,50988.84,2,1,5522,45,2074,1,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikram Rao,IDBI,debit,INR,Gurgaon,Nagpur,Desktop,1973.52,11927.08,0,5,3906,12,1304,0,0,0,1,0,0,entertainment,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikhil Bansal,PNB,debit,INR,Pune,Pune,iPhone,1868.96,21214.84,1,4,1840,11,2333,0,0,0,1,0,0,utilities,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Nair,IDBI,debit,INR,Jaipur,Lucknow,Smart TV,3987.34,21641.36,1,4,3214,28,796,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karan Joshi,Kotak,debit,INR,Bangalore,Chandigarh,ATM,3509.34,14621.36,1,2,6695,22,2184,0,0,0,1,0,0,electronics,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simran Kapoor,IDBI,debit,INR,Lucknow,Surat,iPad,4820.43,64029.72,1,5,4640,5,1111,0,0,0,1,0,0,grocery,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simran Kapoor,Canara Bank,debit,INR,Chennai,Kolkata,Linux Desktop,2182.41,9416.64,2,0,4616,39,1268,0,0,0,1,0,0,travel,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,Bank of Baroda,debit,INR,Jaipur,Chandigarh,ATM,2668.48,32861.92,1,2,2661,26,1432,0,0,0,1,0,0,electronics,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arjun Verma,Yes Bank,debit,INR,Noida,Gurgaon,Smart TV,8309.58,62890.32,2,3,7381,41,727,0,0,0,1,0,0,food,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anjali Desai,HDFC,debit,INR,Hyderabad,Delhi,ATM,8385.84,38751.36,2,3,6836,74,1494,1,0,0,1,0,0,travel,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Reddy,Axis,debit,INR,Patna,Ahmedabad,Linux Desktop,1929.39,51900.56,2,5,2450,6,1047,0,0,0,1,0,0,healthcare,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,IDFC First,debit,INR,Bangalore,Indore,ATM,1462.18,32600.72,2,5,1162,9,1639,0,0,0,1,0,0,food,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,Bank of Baroda,debit,INR,Jaipur,Noida,iPhone,4475.89,23020.56,2,5,4421,6,1628,0,0,0,1,0,0,grocery,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ananya Mishra,Axis,debit,INR,Gurgaon,Indore,MacBook,3864.89,34933.56,0,2,5812,27,475,0,0,0,1,0,0,healthcare,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pooja Iyer,IDFC First,debit,INR,Kochi,Delhi,Web,5614.73,68055.92,2,2,6329,29,1979,0,0,0,1,0,0,insurance,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anjali Desai,HDFC,debit,INR,Hyderabad,Mumbai,Android,5341.29,38780.16,0,3,4254,45,1822,0,0,0,1,0,0,utilities,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanmay Kulkarni,Bank of Baroda,debit,INR,Bhubaneswar,Mumbai,Android,5565.59,23048.36,2,1,5387,19,434,1,0,0,1,0,0,grocery,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rohan Gupta,Axis,debit,INR,Delhi,Nagpur,Android,9310.74,73453.96,2,1,7902,31,1051,0,0,0,1,0,0,retail,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Singh,Yes Bank,debit,INR,Chennai,Mumbai,Linux Desktop,6170.91,74205.64,2,4,6257,34,1585,0,0,0,1,0,0,retail,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ananya Mishra,SBI,debit,INR,Patna,Mumbai,iPhone,5359.92,42333.68,2,4,5198,49,396,0,0,0,1,0,0,entertainment,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,RBL Bank,debit,INR,Patna,Patna,ATM,69551,145672,3,8,2000.0,0,5,0,0,1,0,0,1,crypto,IMPS,DATACENTER,10.0,CRITICAL,1,R01:HighAmount(=69551) | R05:CryptoMerchant | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:DatacenterIP(botSuspect) | R10:NewReceiverHighAmount(69551) | R11:AmountSpike(35xAvg) | R12:NewAccountLargeTransfer(age=5days),1,0,0,0,1,0,0,1,0,1,1,1,0,0
Rohan Gupta,IDFC First,debit,INR,Nagpur,Indore,iPad,7195.3,47719.2,2,0,5886,145,1165,1,0,0,1,0,0,electronics,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Reddy,Union Bank,debit,INR,Noida,Surat,Linux Desktop,6228.99,73746.96,0,0,7110,46,2175,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Nair,PNB,debit,INR,Noida,Indore,iPhone,3461.61,47658.44,2,0,5270,81,1721,1,0,0,1,0,0,education,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Singh,RBL Bank,debit,INR,Hyderabad,Pune,Smart TV,3786.34,62081.36,0,1,6085,12,1509,0,0,0,1,0,0,healthcare,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanmay Kulkarni,Union Bank,debit,INR,Surat,Ahmedabad,Desktop,2481.08,44203.32,1,4,2817,107,1333,1,0,0,1,0,0,utilities,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikram Rao,Union Bank,debit,INR,Bangalore,Bangalore,MacBook,10785,275547,11,29,3000.0,0,192,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(11txns/hr) | R07:NewDeviceDetected(MacBook) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R13:HighDailyVolume(29txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Karan Joshi,PNB,debit,INR,Patna,Indore,Smart TV,2999.94,60366.76,1,0,6885,0,563,0,0,0,1,0,0,grocery,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,ICICI,debit,INR,Surat,Bhopal,Web,2079.75,38040.0,1,5,3129,22,841,0,0,0,1,0,0,insurance,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manish Tiwari,IndusInd,debit,INR,Pune,Bangalore,iPad,4692.44,53138.76,2,0,3888,43,2228,0,0,0,1,0,0,education,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahul Khanna,Union Bank,debit,INR,Noida,Chennai,MacBook,3510.56,46519.24,0,0,4449,46,1930,0,0,0,1,0,0,healthcare,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Kumar,RBL Bank,debit,INR,Gurgaon,Kochi,Desktop,7205.13,50042.52,0,3,5670,9,448,0,0,0,1,0,0,travel,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shreya Bose,IDFC First,debit,INR,Noida,Hyderabad,ATM,2781.78,13727.12,0,2,4096,43,1105,0,0,0,1,0,0,entertainment,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yash Agarwal,Canara Bank,debit,INR,Kolkata,Noida,Smart TV,3676.98,25251.92,0,5,4279,39,1068,1,0,0,1,0,0,travel,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarav Shah,SBI,debit,INR,Bhubaneswar,Bangalore,Smart TV,6043.12,71912.48,1,0,6946,18,2228,0,0,0,1,0,0,education,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanmay Kulkarni,Union Bank,debit,INR,Surat,Surat,iPhone,12489,116464,14,27,3000.0,0,249,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(14txns/hr) | R07:NewDeviceDetected(iPhone) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R13:HighDailyVolume(27txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Siddharth Malhotra,IndusInd,debit,INR,Pune,Nagpur,Android,1006.66,36446.64,0,4,1456,20,1750,0,0,0,1,0,0,utilities,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Reddy,ICICI,debit,INR,Nagpur,Noida,Desktop,7260.16,64700.64,2,2,6562,41,661,0,0,0,1,0,0,electronics,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahul Khanna,HDFC,debit,INR,Ahmedabad,Chennai,Desktop,5583.64,22600.56,0,0,6418,1,1615,0,0,0,1,0,0,electronics,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ananya Mishra,IndusInd,debit,INR,Surat,Surat,MacBook,51000.0,53550.0,1,3,3400.0,0,438,0,0,0,1,0,1,electronics,NEFT,CLEAN,10.0,CRITICAL,1,R01:HighAmount(=51000) | R03:BalanceDrain(=95%) | R10:NewReceiverHighAmount(51000) | R11:AmountSpike(15xAvg) | R14:RoundAmountStructuring(51000),1,0,1,0,0,0,0,0,0,1,1,0,0,1
Priya Singh,Bank of Baroda,debit,INR,Chennai,Gurgaon,iPad,18694,227706,5,25,4000.0,900,392,1,1,1,0,0,0,retail,UPI,PROXY,10.0,CRITICAL,1,R04:FrequentTxns(5txns/hr) | R06:SuspiciousLocationJump(900km) | R07:NewDeviceDetected(iPad) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:AnonymousProxy | R13:HighDailyVolume(25txns),0,0,0,1,0,1,1,1,0,0,0,0,1,0
Siddharth Malhotra,HDFC,debit,GBP,London,Jaipur,iPhone,31288,334621,2,5,8000.0,3875,628,1,1,1,0,1,0,travel,CARD,TOR,10.0,CRITICAL,1,R06:ImpossibleTravel(3875km) | R07:NewDeviceDetected(iPhone) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:TorNetwork | R09:InternationalTxn(currency=GBP),0,0,0,0,0,1,1,1,1,0,0,0,0,0
Riya Patel,HDFC,debit,INR,Nagpur,Nagpur,iPad,10631,167460,5,29,4000.0,0,327,0,1,1,0,0,0,retail,UPI,PROXY,10.0,CRITICAL,1,R04:FrequentTxns(5txns/hr) | R07:NewDeviceDetected(iPad) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:AnonymousProxy | R13:HighDailyVolume(29txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Rahul Khanna,Federal Bank,debit,INR,Indore,Chandigarh,Android,14370,183985,5,26,4000.0,638,384,1,1,1,0,0,0,retail,UPI,PROXY,10.0,CRITICAL,1,R02:OddHours(hour=3) | R04:FrequentTxns(5txns/hr) | R06:SuspiciousLocationJump(638km) | R07:NewDeviceDetected(Android) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:AnonymousProxy | R13:HighDailyVolume(26txns),0,1,0,1,0,1,1,1,0,0,0,0,1,0
Rahul Khanna,SBI,debit,INR,Bhopal,Kochi,ATM,3656.36,56590.44,1,5,3984,67,737,1,0,0,1,0,0,travel,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ananya Mishra,RBL Bank,debit,INR,Chandigarh,Mumbai,Windows Phone,7621.64,55666.56,2,1,6003,11,570,0,0,0,1,0,0,retail,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishita Chaudhary,Yes Bank,debit,INR,Indore,Lucknow,Linux Desktop,2932.41,18937.64,2,2,5422,37,1666,0,0,0,1,0,0,retail,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Singh,IndusInd,debit,INR,Pune,Lucknow,Web,1872.42,12906.68,1,0,1991,30,1430,0,0,0,1,0,0,insurance,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneha Pillai,Bank of Baroda,debit,INR,Gurgaon,Gurgaon,Windows Phone,19911,143059,12,28,3000.0,0,266,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(12txns/hr) | R07:NewDeviceDetected(Windows Phone) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R11:AmountSpike(7xAvg) | R13:HighDailyVolume(28txns),0,0,0,1,0,0,1,1,0,0,1,0,1,0
Riya Patel,Federal Bank,debit,INR,Bangalore,Kochi,Android,4172.59,30022.36,2,1,5868,37,1223,0,0,0,1,0,0,electronics,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneha Pillai,Bank of Baroda,debit,INR,Bhopal,Delhi,ATM,2033.38,48072.52,2,2,4570,46,1129,0,0,0,1,0,0,electronics,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanmay Kulkarni,HDFC,debit,INR,Mumbai,Mumbai,Web,10652,125260,12,27,3000.0,0,169,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(12txns/hr) | R07:NewDeviceDetected(Web) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R13:HighDailyVolume(27txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Diya Mehta,Axis,debit,INR,Hyderabad,Noida,Web,4160.89,51313.56,0,1,4381,26,1901,0,0,0,1,0,0,utilities,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arjun Verma,RBL Bank,debit,INR,Ahmedabad,Kochi,Windows Phone,3507.58,20414.32,2,0,3269,41,631,0,0,0,1,0,0,entertainment,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,HDFC,debit,INR,Ahmedabad,Bhubaneswar,Windows Phone,2694.54,11110.16,1,3,2220,27,1328,0,0,0,1,0,0,entertainment,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karan Joshi,Bank of Baroda,debit,INR,Nagpur,Gurgaon,Android,6541.68,29349.72,2,4,5104,21,1353,0,0,0,1,0,0,electronics,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek Nair,Union Bank,debit,INR,Kolkata,Bangalore,Android,4589.96,65295.84,0,1,4479,3,954,0,0,0,1,0,0,retail,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ananya Mishra,Canara Bank,debit,INR,Indore,Ahmedabad,Windows Phone,1922.98,24605.92,2,4,3765,26,622,0,0,0,1,0,0,food,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manish Tiwari,Axis,debit,INR,Indore,Indore,iPad,20716,118170,3,8,2000.0,0,21,0,0,1,0,0,1,gambling,IMPS,DATACENTER,10.0,CRITICAL,1,R02:OddHours(hour=2) | R05:GamblingMerchant | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:DatacenterIP(botSuspect) | R10:NewReceiverHighAmount(20716) | R11:AmountSpike(10xAvg) | R12:NewAccountLargeTransfer(age=21days),0,1,0,0,1,0,0,1,0,1,1,1,0,0
Manish Tiwari,IndusInd,debit,INR,Kolkata,Gurgaon,Smart TV,2759.62,17344.48,1,1,5927,36,2024,0,0,0,1,0,0,food,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishita Chaudhary,HDFC,debit,INR,Nagpur,Mumbai,iPhone,4220.01,41684.04,2,1,5556,46,2152,0,0,0,1,0,0,utilities,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priya Singh,IDFC First,debit,INR,Chennai,Chennai,Windows Phone,22610,31654,1,2,2261,0,730,0,0,0,1,0,1,electronics,NEFT,CLEAN,4.5,MEDIUM,0,R10:NewReceiverHighAmount(22610) | R11:AmountSpike(10xAvg),0,0,0,0,0,0,0,0,0,1,1,0,0,0
Nikhil Bansal,Yes Bank,debit,INR,Bangalore,Nagpur,Web,1842.66,49420.64,2,1,1447,27,2195,0,0,0,1,0,0,utilities,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varun Saxena,Axis,debit,INR,Delhi,Nagpur,Web,469.29,22275.16,2,4,1171,5,1440,0,0,0,1,0,0,travel,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikram Rao,IDBI,debit,CAD,Sydney,Indore,Smart TV,48404,422411,2,5,8000.0,2068,1025,1,1,1,0,1,0,travel,CARD,TOR,10.0,CRITICAL,1,R06:ImpossibleTravel(2068km) | R07:NewDeviceDetected(Smart TV) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:TorNetwork | R09:InternationalTxn(currency=CAD) | R11:AmountSpike(6xAvg),0,0,0,0,0,1,1,1,1,0,1,0,0,0
Siddharth Malhotra,Axis,debit,INR,Nagpur,Kolkata,Web,2437.58,21003.32,1,2,7600,3,670,0,0,0,1,0,0,travel,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manish Tiwari,ICICI,debit,INR,Surat,Pune,Android,1898.38,17644.52,1,0,2745,41,2225,0,0,0,1,0,0,insurance,IMPS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,Kotak,debit,INR,Pune,Jaipur,Windows Phone,4906.22,63239.88,1,5,4827,40,482,0,0,0,1,0,0,entertainment,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,Yes Bank,debit,INR,Pune,Chandigarh,Desktop,5281.7,38360.8,1,5,7786,44,855,0,0,0,1,0,0,entertainment,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Reddy,IDFC First,debit,INR,Nagpur,Patna,MacBook,2299.26,26033.04,2,5,1883,15,992,0,0,0,1,0,0,insurance,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anjali Desai,IDFC First,debit,INR,Indore,Jaipur,Smart TV,1471.23,11866.92,0,4,1491,26,2093,0,0,0,1,0,0,insurance,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meera Nair,RBL Bank,debit,INR,Hyderabad,Mumbai,iPhone,2375.2,34665.8,1,1,5942,73,392,1,0,0,1,0,0,grocery,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishita Chaudhary,Bank of Baroda,debit,INR,Bangalore,Noida,Smart TV,5978.03,63724.12,1,1,5992,49,1737,0,0,0,1,0,0,travel,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manish Tiwari,HDFC,debit,INR,Chandigarh,Ahmedabad,ATM,2374.55,42266.2,0,5,7461,29,1148,0,0,0,1,0,0,utilities,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
